ID,First Name,Last Name,Email,Password,Annual Gross Income,Federal tax,Ontario tax,CPP,EI,Net Income
30,Jessalin,Rawlinson,jrawlinsont@admin.ch,laYBt0XUk3j2,160172.0,33498.73,13192.46,3499.8,952.74,109028.27
31,Dougy,Statham,dstathamu@photobucket.com,BVtJun2i6,120951.0,23164.86,9171.75,3499.8,952.74,84161.85
32,Hildy,Ciccotto,hciccottov@naver.com,x3weiCA,30507.0,4576.05,1540.6,1738.9,482.01,22169.44
33,Drusi,Sahlstrom,dsahlstromw@un.org,4dPY21g4QrWV,83432.0,14342.72,5738.76,3499.8,952.74,58897.98
34,Selinda,Armour,sarmourx@amazon.com,WdplmYL,29718.0,4457.7,1500.76,1693.93,469.54,21596.07
35,Joscelin,Marsden,jmarsdeny@wordpress.org,sqMPWQaanN7p,273293.0,68367.22,25816.76,3499.8,952.74,174656.48
36,Kimmy,Volleth,kvollethz@qq.com,YqwTjpG,137162.0,27379.72,10655.06,3499.8,952.74,94674.68
37,Franni,Margerison,fmargerison10@theguardian.com,lq3HLAyAcx,182368.0,39935.57,15669.53,3499.8,952.74,122310.36
38,Ringo,Asquith,rasquith11@naver.com,kEDWw3hDbCOE,44065.0,6609.75,2225.28,2511.7,696.23,32022.04
39,Tobe,Juggins,tjuggins12@chron.com,uXc3oHzBkSU3,232736.0,54983.41,21290.6,3499.8,952.74,152009.45
40,Janot,Ludlam,jludlam13@cdbaby.com,HZXyYuSQzEU,54928.0,8499.4,3130.65,3130.9,867.86,39299.19
41,Lura,Llywarch,lllywarch14@hud.gov,FmEphhE,243474.0,58526.95,22488.96,3499.8,952.74,158005.55
42,Hanni,Featherstone,hfeatherstone15@indiatimes.com,b21WmWVrWD3,54522.0,8416.17,3093.5,3107.75,861.45,39043.13
43,Janeva,Boscher,jboscher16@usda.gov,In7P7nc7O4M0,262809.0,64907.5,24646.75,3499.8,952.74,168802.21
44,Wakefield,Linne,wlinne17@istockphoto.com,zDX4NvG,243514.0,58540.15,22493.43,3499.8,952.74,158027.88
45,Cassaundra,Rendall,crendall18@boston.com,Wf2kTBjBgB,230380.0,54205.93,21027.67,3499.8,952.74,150693.86
46,Creight,Whenham,cwhenham19@vistaprint.com,c5MQFbxHXjG,52701.0,8042.87,2926.88,3003.96,832.68,37894.61
47,Shelia,Attkins,sattkins1a@clickbank.net,gN1xCh4GBlxp,83297.0,14315.05,5726.41,3499.8,952.74,58803.0
48,Nikolai,Sattin,nsattin1b@ezinearticles.com,CnitbMVcOBK,111161.0,20619.46,8275.97,3499.8,952.74,77813.03
49,Nara,Aronstein,naronstein1c@house.gov,8ZBdY4Gl,289285.0,73644.58,27607.52,3499.8,952.74,183580.36
50,Anson,Greves,agreves1d@skyrock.com,C7Nj9veA7I,175663.0,37991.12,14921.26,3499.8,952.74,118298.08
51,Cristy,Rickeard,crickeard1e@vinaora.com,CoTF0OxtFx,224761.0,52351.66,20400.59,3499.8,952.74,147556.21
52,Scottie,Carletto,scarletto1f@hubpages.com,0MYruN,156842.0,32533.03,12820.83,3499.8,952.74,107035.6
53,Denny,Mercer,dmercer1g@mlb.com,IGCuNPkAyF,254038.0,62013.07,23667.91,3499.8,952.74,163904.48
54,Alta,Attree,aattree1h@weibo.com,k4jnMS,29753.0,4462.95,1502.53,1695.92,470.1,21621.5
55,Carolynn,Groom,cgroom1i@xrea.com,7cJnDNugEvep,177078.0,38401.47,15079.17,3499.8,952.74,119144.82
56,Pippo,Penwright,ppenwright1j@miibeian.gov.cn,f2HCcQ,172821.0,37166.94,14604.09,3499.8,952.74,116597.43
57,Stevana,Izzard,sizzard1k@de.vu,R2vfyL,75179.0,12650.86,4983.61,3499.8,952.74,53091.99
58,Stanford,Fritzer,sfritzer1l@oakley.com,UBfjGnSoa5y,222231.0,51516.76,20118.25,3499.8,952.74,146143.45
59,Jacinthe,Ramble,jramble1m@msn.com,pH8DvlkDx,87640.0,15205.36,6123.79,3499.8,952.74,61858.31
60,Kaleena,Nazer,knazer1n@ihg.com,AU4gs9F,172952.0,37204.93,14618.71,3499.8,952.74,116675.82
61,Elisa,O'Fallon,eofallon1o@wikispaces.com,kjxflceQuaQu,116191.0,21927.26,8736.21,3499.8,952.74,81074.99
62,Biddie,Doerling,bdoerling1p@webmd.com,GGtNOcS,244643.0,58912.72,22619.42,3499.8,952.74,158658.32
63,Sean,Levey,slevey1q@clickbank.net,8FIkGlLUt0iO,43305.0,6495.75,2186.9,2468.39,684.22,31469.74
64,Marge,Blare,mblare1r@chronoengine.com,jpxdHn,142237.0,28699.22,11190.92,3499.8,952.74,97894.32
65,Roosevelt,Roussell,rroussell1s@virginia.edu,QuN43p,238759.0,56971.0,21962.77,3499.8,952.74,155372.69
66,Manolo,Mettrick,mmettrick1t@vimeo.com,202l70iQfr,182414.0,39948.91,15674.67,3499.8,952.74,122337.88
67,Clayson,Brinklow,cbrinklow1u@ucoz.com,0uprL0pcVO8D,167995.0,35767.4,14065.51,3499.8,952.74,113709.55
68,Kriste,Fremantle,kfremantle1v@adobe.com,I1bsRR5sbE,176528.0,38241.97,15017.79,3499.8,952.74,118815.7
69,Gaspar,Neward,gneward1w@ed.gov,7ucbW6nOb,279040.0,70263.74,26458.13,3499.8,952.74,177865.59
70,Wandis,McVicker,wmcvicker1x@about.com,iqWNMJamXHvd,169317.0,36150.78,14213.04,3499.8,952.74,114500.64
71,Matt,Feuell,mfeuell1y@gnu.org,vykatyW,160460.0,33582.25,13224.6,3499.8,952.74,109200.61
72,Hymie,Legat,hlegat1z@mayoclinic.com,9FcZOA,296997.0,76189.54,28545.3,3499.8,952.74,187809.62
73,Maynard,Snedker,msnedker20@abc.net.au,iBoeTc,32264.0,4839.6,1629.33,1839.05,509.77,23446.25
74,Tulley,Eadmeades,teadmeades21@barnesandnoble.com,r9gYPUkuU,40845.0,6126.75,2062.67,2328.16,645.35,29682.07
75,Clarette,Mulvey,cmulvey22@goo.ne.jp,lKpRCkXl,105589.0,19170.74,7766.13,3499.8,952.74,74199.59
76,Chloe,McLachlan,cmclachlan23@blogtalkradio.com,xFKTRuZuiE,102301.0,18315.86,7465.28,3499.8,952.74,72067.32
77,Allin,Hanhart,ahanhart24@psu.edu,LKSXDvq8,196998.0,44178.27,17302.24,3499.8,952.74,131064.95
78,Roslyn,Malthus,rmalthus25@illinois.edu,KCUDJFO,136811.0,27288.46,10622.94,3499.8,952.74,94447.06
79,Gaby,Nockalls,gnockalls26@typepad.com,DmcKcbkFE9M,221731.0,51351.76,20062.45,3499.8,952.74,145864.25
80,Jimmy,MacAughtrie,jmacaughtrie27@redcross.org,baX2NoWA,247305.0,59791.18,22916.5,3499.8,952.74,160144.78
81,Daffie,Balasini,dbalasini28@google.pl,6aAxusByP,40831.0,6124.65,2061.97,2327.37,645.13,29671.88
82,Lyn,Scoble,lscoble29@ucoz.ru,P9yl1ztbmJLe,128478.0,25121.88,9860.47,3499.8,952.74,89043.11
83,Morey,Wieprecht,mwieprecht2a@dyndns.org,rxbOfXM,246823.0,59632.12,22862.71,3499.8,952.74,159875.63
84,Sollie,Carrick,scarrick2b@mail.ru,ymhV4O4drANE,291181.0,74270.26,27838.08,3499.8,952.74,184620.12
85,Reinwald,Whyler,rwhyler2c@ebay.co.uk,MDKeQrCeyJs,154867.0,31983.02,12600.42,3499.8,952.74,105831.02
86,Bibby,Ayree,bayree2d@fastcompany.com,CkUZzgq,27353.0,4102.95,1381.33,1559.12,432.18,19877.42
87,Hulda,McMurthy,hmcmurthy2e@rediff.com,yu8QGxNK,87611.0,15199.42,6121.14,3499.8,952.74,61837.9
88,Lucila,Greening,lgreening2f@theguardian.com,2hdLLiNBg5,59493.0,9435.23,3548.34,3391.1,939.99,42178.34
89,Noreen,Felgate,nfelgate2g@deviantart.com,KgkH2RoR7WMj,81996.0,14048.34,5607.37,3499.8,952.74,57887.75
90,Haley,Yedall,hyedall2h@nps.gov,ntLqI6ufFUAp,242272.0,58130.29,22354.82,3499.8,952.74,157334.35
91,Francine,Ive,five2i@noaa.gov,sCrvlqrcJ,188179.0,41620.76,16318.04,3499.8,952.74,125787.66
92,Livvie,Prestie,lprestie2j@bbc.co.uk,hqvzACdbNP,201978.0,45622.47,17858.01,3499.8,952.74,134044.98
93,Rani,Weerdenburg,rweerdenburg2k@whitehouse.gov,4wL8zWC,228180.0,53479.93,20782.15,3499.8,952.74,149465.38
94,Terrance,Gosson,tgosson2l@live.com,NR9hOx,155064.0,32034.24,12622.41,3499.8,952.74,105954.81
95,Leodora,Mallinder,lmallinder2m@google.pl,Qjultu,97802.0,17288.57,7053.62,3499.8,952.74,69007.27
96,Sephira,Bointon,sbointon2n@a8.net,2RHgFX4fP,178004.0,38670.01,15182.51,3499.8,952.74,119698.94
97,Henrietta,Tousey,htousey2o@vkontakte.ru,DtHdS8e,124801.0,24165.86,9524.03,3499.8,952.74,86658.57
98,Cynthy,Blunsum,cblunsum2p@wordpress.org,JK8Hap,59478.0,9432.15,3546.97,3390.25,939.75,42168.88
99,Ozzie,Renforth,orenforth2q@bloomberg.com,Iy1PEeo6,261977.0,64632.94,24553.9,3499.8,952.74,168337.62
100,Leigh,Badsey,lbadsey2r@infoseek.co.jp,pX5ndE3v1E,145770.0,29617.81,11585.2,3499.8,952.74,100114.45
101,Olly,Aitken,oaitken2s@ucsd.edu,xLhaVmVco,106416.0,19385.76,7841.8,3499.8,952.74,74735.9
102,Nance,Hallihane,nhallihane2t@paypal.com,lSntlwtjSzv,234579.0,55591.6,21496.28,3499.8,952.74,153038.58
103,Reagen,Gisburne,rgisburne2u@npr.org,QbI5nVXXWb,172130.0,36966.55,14526.97,3499.8,952.74,116183.94
104,Uri,Southerton,usoutherton2v@disqus.com,QbxfcLSeHRMU,142776.0,28839.36,11251.07,3499.8,952.74,98233.03
105,Simonne,Casewell,scasewell2w@newsvine.com,bIZKqt3,35582.0,5337.3,1796.89,2028.17,562.2,25857.44
106,Barrett,Seif,bseif2x@shinystat.com,SKbgzTOISU,74013.0,12411.83,4876.92,3499.8,952.74,52271.71
107,Elenore,Stoves,estoves2y@hugedomains.com,k4Swypa97d6,170824.0,36587.81,14381.22,3499.8,952.74,115402.43
108,Sigismondo,Antognozzii,santognozzii2z@hp.com,EmTz000Z,199209.0,44819.46,17548.99,3499.8,952.74,132388.01
109,Salvatore,Boothman,sboothman30@360.cn,p0DKYm,220982.0,51133.63,19978.86,3499.8,952.74,145416.97
110,Rolando,Messager,rmessager31@sina.com.cn,sR0IxYE,174790.0,37737.95,14823.83,3499.8,952.74,117775.68
111,Micheil,Carson,mcarson32@ox.ac.uk,qcO4UeFHX,170830.0,36589.55,14381.89,3499.8,952.74,115406.02
112,Dawn,Keyte,dkeyte33@geocities.com,bajSwXXuz,81826.0,14013.49,5591.81,3499.8,952.74,57768.16
113,Sybila,Wallman,swallman34@tumblr.com,vPY4FHia,128990.0,25255.0,9907.32,3499.8,952.74,89375.14
114,Charlot,Brewett,cbrewett35@walmart.com,JXXxQJq,142529.0,28775.14,11223.5,3499.8,952.74,98077.82
115,Addi,Whanstall,awhanstall36@shinystat.com,kvO1mY26LTIi,240042.0,57394.39,22105.95,3499.8,952.74,156089.12
116,Adriaens,Ruben,aruben37@tripadvisor.com,Q2tIjVHHJib,163107.0,34349.88,13520.01,3499.8,952.74,110784.57
117,Malva,Guiduzzi,mguiduzzi38@goo.ne.jp,5dGXJpXRoja,217970.0,50260.15,19642.72,3499.8,952.74,143614.59
118,Keelby,Astman,kastman39@elpais.com,cE97FvOIQ,96344.0,16989.68,6920.21,3499.8,952.74,67981.57
119,Saundra,Stot,sstot3a@liveinternet.ru,of8FNUwo,168008.0,35771.17,14066.96,3499.8,952.74,113717.33
120,Reeta,Hulks,rhulks3b@youtu.be,vk0mREuaFnZA,255243.0,62410.72,23802.38,3499.8,952.74,164577.36
121,Wald,Neames,wneames3c@webeden.co.uk,DPxin0kMp2,94076.0,16524.74,6712.69,3499.8,952.74,66386.03
122,Tarah,Jessard,tjessard3d@hostgator.com,uVq8vPF0aGWN,80068.0,13653.1,5430.96,3499.8,952.74,56531.4
123,Desmund,McCluney,dmccluney3e@nifty.com,CufMki6s,55312.0,8578.12,3165.78,3152.78,873.93,39541.39
124,Skylar,Rugge,srugge3f@sitemeter.com,gI3SvK,208754.0,47587.51,18614.21,3499.8,952.74,138099.74
125,Shannon,Aizikovitz,saizikovitz3g@histats.com,OzriphLt,206068.0,46808.57,18314.45,3499.8,952.74,136492.44
126,Lurlene,Blodgetts,lblodgetts3h@diigo.com,ZNgpgySq,273030.0,68280.43,25787.41,3499.8,952.74,174509.62
127,Benedetta,Cescoti,bcescoti3i@hao123.com,dCEyAU4J,179326.0,39053.39,15330.05,3499.8,952.74,120490.02
128,Rosita,Delgadillo,rdelgadillo3j@feedburner.com,B71ApbBsEF9Z,62168.0,9983.6,3793.11,3499.8,952.74,43938.75
129,Manfred,Dalglish,mdalglish3k@cloudflare.com,BIjZo3fNHcN,109339.0,20145.74,8109.25,3499.8,952.74,76631.47
130,Adrian,McMillam,amcmillam3l@hud.gov,UNWs1fLD,61460.0,9838.47,3728.32,3499.8,952.74,43440.67
131,Earl,Boorman,eboorman3m@chicagotribune.com,TQaljS,205304.0,46587.01,18229.19,3499.8,952.74,136035.26
132,Filippo,Varden,fvarden3n@people.com.cn,Oa2B5tC,233091.0,55100.56,21330.22,3499.8,952.74,152207.68
133,Vassily,Maylard,vmaylard3o@deviantart.com,bjHS10,163940.0,34591.45,13612.97,3499.8,952.74,111283.04
134,Clarke,Hounsome,chounsome3p@statcounter.com,hOQg4yDlzwi,136619.0,27238.54,10605.37,3499.8,952.74,94322.55
135,Baird,Dudmarsh,bdudmarsh3q@altervista.org,2VHlTqY1,161216.0,33801.49,13308.97,3499.8,952.74,109653.0
136,Shaylah,Trynor,strynor3r@imdb.com,zVzQVpSiGS,65793.0,10726.73,4124.79,3499.8,952.74,46488.94
137,Zorah,Mincher,zmincher3s@sciencedaily.com,9AHay6s4Y,152149.0,31276.34,12297.09,3499.8,952.74,104123.03
138,Paxon,Morstatt,pmorstatt3t@ebay.co.uk,zaXXklvwA,93987.0,16506.5,6704.54,3499.8,952.74,66323.42
139,Roldan,Geake,rgeake3u@si.edu,tRHgooq6b,37877.0,5681.55,1912.79,2158.99,598.46,27525.21
140,Humberto,Schild,hschild3v@usnews.com,rBn5Df9zUl,181932.0,39809.13,15620.88,3499.8,952.74,122049.45
141,Kattie,Ranscome,kranscome3w@webs.com,7sakUPcELGb4,50447.0,7580.8,2720.63,2875.48,797.06,36473.03
142,Conroy,Lusted,clusted3x@ftc.gov,dWxPmru,87477.0,15171.95,6108.88,3499.8,952.74,61743.63
143,Orelie,Musgrave,omusgrave3y@quantcast.com,sahrzY,268958.0,66936.67,25332.98,3499.8,952.74,172235.81
144,Barbabra,Tukesby,btukesby3z@jalbum.net,BurSUN,112475.0,20961.1,8396.2,3499.8,952.74,78665.16
145,Brit,Fawlo,bfawlo40@posterous.com,F5JD53XKxXh,267642.0,66502.39,25186.11,3499.8,952.74,171500.96
146,Walden,Sex,wsex41@slate.com,iMjjO6LGn,255544.0,62510.05,23835.98,3499.8,952.74,164745.43
147,Waneta,Dureden,wdureden42@nyu.edu,mLkFkVD2vEGC,99319.0,17599.56,7192.42,3499.8,952.74,70074.48
148,Shelby,Jurek,sjurek43@cloudflare.com,kjhUP4qlZ,202468.0,45764.57,17912.69,3499.8,952.74,134338.2
149,Malanie,Bezant,mbezant44@nydailynews.com,VRYbcx,208535.0,47524.0,18589.77,3499.8,952.74,137968.69
150,Bil,Paver,bpaver45@eepurl.com,ykACLHI,169695.0,36260.4,14255.23,3499.8,952.74,114726.83
151,Boothe,MacKegg,bmackegg46@is.gd,BYVpf70CAJrR,291723.0,74449.12,27903.98,3499.8,952.74,184917.36
152,Retha,Griss,rgriss47@digg.com,Ly1t4Rst7Mg8,220710.0,51054.75,19948.5,3499.8,952.74,145254.21
153,Celinda,Flatley,cflatley48@senate.gov,gVX2XBlDfmgY,232792.0,55001.89,21296.85,3499.8,952.74,152040.72
154,Graeme,Macvey,gmacvey49@ovh.net,992IBoU,282300.0,71339.54,26821.95,3499.8,952.74,179685.97
155,Harley,Melsome,hmelsome4a@wikipedia.org,eWVa6IwPWR,27299.0,4094.85,1378.6,1556.04,431.32,19838.19
156,Drucy,Teck,dteck4b@mit.edu,jwORMRBnkPTQ,114833.0,21574.18,8611.95,3499.8,952.74,80194.33
157,Gib,Reiling,greiling4c@liveinternet.ru,ONyyUTX,298122.0,76560.79,28682.1,3499.8,952.74,188426.57
158,Rhea,Shapcott,rshapcott4d@goodreads.com,3ccL9k,286518.0,72731.47,27292.67,3499.8,952.74,182041.32
159,Cheryl,Bonnett,cbonnett4e@cbsnews.com,TftFPlCN,197885.0,44435.5,17401.23,3499.8,952.74,131595.73
160,Abra,Mawhinney,amawhinney4f@constantcontact.com,sViYyBtuuWV,27495.0,4124.25,1388.5,1567.22,434.42,19980.61
161,Trever,Baysting,tbaysting4g@yale.edu,SE9CXlhC,240725.0,57619.78,22182.18,3499.8,952.74,156470.5
162,Anna-diane,Skelhorn,askelhorn4h@army.mil,ONeB6BrIO,35624.0,5343.6,1799.01,2030.57,562.86,25887.96
163,Charmane,Rosie,crosie4i@youtube.com,R1ankcQC0,288726.0,73460.11,27539.55,3499.8,952.74,183273.8
164,Allyn,MacWilliam,amacwilliam4j@rediff.com,GZqd417q,116336.0,21964.96,8749.48,3499.8,952.74,81169.02
165,Zebulon,Wayon,zwayon4k@bizjournals.com,TMiKEibxuLt6,166262.0,35264.83,13872.11,3499.8,952.74,112672.52
166,Crawford,Burnhams,cburnhams4l@hp.com,n1ztJjlQu6K6,295059.0,75550.01,28309.64,3499.8,952.74,186746.81
167,Kay,Henrot,khenrot4m@csmonitor.com,7eViDMUs9,188629.0,41751.26,16368.26,3499.8,952.74,126056.94
168,Sashenka,Fenix,sfenix4n@goo.ne.jp,KPr0jT1ijGK,126360.0,24571.2,9666.67,3499.8,952.74,87669.59
169,Sharyl,Crossland,scrossland4o@techcrunch.com,IUjzCFCRm7Z,259469.0,63805.3,24274.01,3499.8,952.74,166937.15
170,Silas,Skinn,sskinn4p@zimbio.com,VEpGM15GVm2,72638.0,12129.95,4751.11,3499.8,952.74,51304.4
171,Willy,Nancekivell,wnancekivell4q@nyu.edu,VvrhDqs4,190377.0,42258.18,16563.34,3499.8,952.74,127102.94
172,Neil,Janisson,njanisson4r@mashable.com,0bRYMqRwt,31456.0,4718.4,1588.53,1792.99,497.0,22859.08
173,Matilde,Maddy,mmaddy4s@hatena.ne.jp,h6MgeKtIbaI,133355.0,26389.9,10306.72,3499.8,952.74,92205.84
174,Jeffy,Outhwaite,jouthwaite4t@topsy.com,YxXl7FuK4b,120685.0,23095.7,9147.41,3499.8,952.74,83989.35
175,Vaughan,Gimson,vgimson4u@weibo.com,SaZKf7,56722.0,8867.17,3294.8,3233.15,896.21,40430.67
176,Bond,Gaitskell,bgaitskell4v@oracle.com,E6tOqtL6q8oH,95265.0,16768.49,6821.48,3499.8,952.74,67222.49
177,Matt,Sinkin,msinkin4w@weebly.com,peOXxF,274357.0,68718.35,25935.51,3499.8,952.74,175250.6
178,Renault,Gossage,rgossage4x@boston.com,gcRqadEL,128164.0,25040.24,9831.74,3499.8,952.74,88839.48
179,Zsazsa,Goldstein,zgoldstein4y@slashdot.org,WTCMbYkKfa42,204338.0,46306.87,18121.39,3499.8,952.74,135457.2
180,Cyrille,Alman,calman4z@senate.gov,fyS0ZYU,92851.0,16273.62,6600.6,3499.8,952.74,65524.24
181,Brenna,Matveyev,bmatveyev50@gnu.org,qMFpvog,222644.0,51653.05,20164.34,3499.8,952.74,146374.07
182,Valentin,Crus,vcrus51@reference.com,NDn64s1j4Vd0,246413.0,59496.82,22816.96,3499.8,952.74,159646.68
183,Cherilyn,Print,cprint52@sciencedirect.com,GNgjMpO0qtj,97462.0,17218.88,7022.51,3499.8,952.74,68768.07
184,Deane,Threadgold,dthreadgold53@reuters.com,Nn95sr7,137639.0,27503.74,10698.7,3499.8,952.74,94984.02
185,Hyatt,De Bruijne,hdebruijne54@craigslist.org,QmRlgy,84028.0,14464.9,5793.3,3499.8,952.74,59317.26
186,Ardis,O'Rudden,aorudden55@npr.org,TX4hmM9cnapi,81958.0,14040.55,5603.89,3499.8,952.74,57861.02
187,Lukas,Fencott,lfencott56@networksolutions.com,o34fRfZgm,44422.0,6663.3,2243.31,2532.05,701.87,32281.47
188,Nixie,Givens,ngivens57@engadget.com,u3US6uzr4Z6D,142224.0,28695.84,11189.46,3499.8,952.74,97886.16
189,Tanney,Mackro,tmackro58@lycos.com,3zHm8w0SBt,126322.0,24561.32,9663.2,3499.8,952.74,87644.94
190,Ruperta,Hubach,rhubach59@sitemeter.com,GvKGgF,184348.0,40509.77,15890.5,3499.8,952.74,123495.19
191,Sibby,Lanfear,slanfear5a@printfriendly.com,Q0HCduGaa,251864.0,61295.65,23425.29,3499.8,952.74,162690.52
192,Elston,Cosbey,ecosbey5b@examiner.com,KBijLs,35545.0,5331.75,1795.02,2026.07,561.61,25830.55
193,Audrie,Pawley,apawley5c@techcrunch.com,9DqSxob,191904.0,42701.01,16733.75,3499.8,952.74,128016.7
194,Matias,Leall,mleall5d@bluehost.com,jVu5NboGZ,120558.0,23062.68,9135.79,3499.8,952.74,83906.99
195,Oralee,Simmig,osimmig5e@bizjournals.com,Yx2Ccf1xFVL,93363.0,16378.58,6647.45,3499.8,952.74,65884.43
196,Thorndike,Ayllett,tayllett5f@prnewswire.com,GhcdC5U,268621.0,66825.46,25295.37,3499.8,952.74,172047.63
197,Misha,Volonte,mvolonte5g@state.tx.us,XhFqrn1,30794.0,4619.1,1555.1,1755.26,486.55,22377.99
198,Isabel,Acomb,iacomb5h@wordpress.com,nUZwLjH,108713.0,19982.98,8051.97,3499.8,952.74,76225.51
199,Jamesy,Reiner,jreiner5i@dion.ne.jp,HdhBeEGqMq,83917.0,14442.15,5783.14,3499.8,952.74,59239.17
200,Loella,Mendus,lmendus5j@purevolume.com,u6nYaMwofqaf,139345.0,27947.31,10868.17,3499.8,952.74,96076.98
201,Meredeth,Mc Ilwrick,mmcilwrick5k@multiply.com,kqEg7H,186934.0,41259.71,16179.1,3499.8,952.74,125042.65
202,Sheilah,Celle,scelle5l@4shared.com,ArFqyBpUL,95174.0,16749.83,6813.16,3499.8,952.74,67158.47
203,Joela,Driussi,jdriussi5m@unicef.org,Abx9hK,251556.0,61194.01,23390.92,3499.8,952.74,162518.53
204,Raf,MacColl,rmaccoll5n@people.com.cn,w0JLH1w,205775.0,46723.6,18281.76,3499.8,952.74,136317.1
205,Dave,Tregien,dtregien5o@mozilla.org,Akuj0CZ,298638.0,76731.07,28744.85,3499.8,952.74,188709.54
206,Ignatius,Matussov,imatussov5p@amazon.co.jp,DOPFL5aL5,229715.0,53986.48,20953.46,3499.8,952.74,150322.52
207,Colet,Irons,cirons5q@wired.com,QkQGxUb,36042.0,5406.3,1820.12,2054.39,569.46,26191.73
208,Eryn,Piser,episer5r@boston.com,T3RFydacMLQi,110974.0,20570.84,8258.85,3499.8,952.74,77691.77
209,Othilia,Carpmile,ocarpmile5s@ebay.com,UMF7KHD1ERC,198847.0,44714.48,17508.59,3499.8,952.74,132171.39
210,Fonzie,Laden,fladen5t@exblog.jp,LkbeZfK,180561.0,39411.54,15467.87,3499.8,952.74,121229.05
211,Rina,Muro,rmuro5u@yandex.ru,doASYF88DJrs,71184.0,11831.88,4618.07,3499.8,952.74,50281.51
212,Leonie,Malden,lmalden5v@jugem.jp,rcXZQUe,172079.0,36951.76,14521.28,3499.8,952.74,116153.42
213,Carmelle,Caldayrou,ccaldayrou5w@nsw.gov.au,hWvnm8iVo,35888.0,5383.2,1812.34,2045.62,567.03,26079.81
214,Micah,Faich,mfaich5x@economist.com,swF9CUvY7MX,251490.0,61172.24,23383.55,3499.8,952.74,162481.67
